單字,美音,中文解釋,圖片,英文例句,中文翻譯
home,/hoʊm/,家,176.jpg,The senator has two homes - an apartment in Washington and a house in Colorado.,這位參議員有兩個家——一個是位於華盛頓的公寓，另一個是科羅拉多的家。
school,/skuːl/,學校,177.jpg,They're building a new school in the town.,他們正在鎮裡建一座新學校。
park,/pɑːrk/,公園,178.jpg,We watched the joggers in the park.,我們在公園裡看別人慢跑。
zoo,/zuː/,動物園,179.jpg,the zoo has many animals inside.,動物園裡有很多動物。
store,/stɔːr/,商店,180.jpg,a department store,百貨商場
shop,/ʃɑːp/,商店,181.jpg,I need to go to the shops - I've got no food in the house.,我得去商店了——家裡沒有吃的東西了。
house,/haʊs/,房子,182.jpg,She lives in a little house in (US on) Cross Street.,她住在十字街上的一間小房子裡。
garage,/ɡəˈrɑːʒ/,車庫,183.jpg,Did you put the car in the garage?,你把車停到車庫裡了嗎？
living room,/ˈlɪv.ɪŋ ˌruːm/,客廳,184.jpg,you living room is too small.,你的客廳太小了。
dining room,/ˈdaɪ.nɪŋ ˌruːm/,飯廳,185.jpg,we eat in the dining room.,我們在飯廳裡吃飯。
kitchen,/ˈkɪtʃ.ən/,廚房,186.jpg,We usually eat breakfast in the kitchen.,我們通常在廚房吃早餐。
bedroom,/ˈbed.ruːm/,臥室,187.jpg,Our home has three bedrooms.,我們家有三間臥房。
bathroom,/ˈbæθ.ruːm/,浴室、廁所,188.jpg,The house has four bedrooms and two bathrooms.,這座房子有四間臥房和兩個洗澡間。
yard,/jɑːrd/,庭院,189.jpg,The house has a small yard at the back.,這所房子後面有個小院。
garden,/ˈɡɑːr.dən/,花園、菜園,190.jpg,a garden shed,花園中的棚屋
