question,options1,options2,options3,options4,feedback,answer,options1_word_index,options2_word_index,options3_word_index,options4_word_index
"以下中文的英文意思是什麼？
 我",he,father,boy,I,I,4,4,15,20,0
"以下中文的英文意思是什麼？
 你",brother,you,I,she,you,2,17,1,0,5
"以下中文的英文意思是什麼？
 我們",we,I,woman,farmer,we,1,2,0,21,26
"以下中文的英文意思是什麼？
 他們",mother,they,you,student,they,2,14,3,1,25
"以下中文的英文意思是什麼？
 他",boy,driver,it,he,he,4,20,29,6,4
"以下中文的英文意思是什麼？
 她",they,she,father,we,she,2,3,5,15,2
"以下中文的英文意思是什麼？
 它",her,teacher,woman,it,it,4,10,24,21,6
"以下中文的英文意思是什麼？
 我的",doctor,nurse,they,my,my,4,27,28,3,7
"以下中文的英文意思是什麼？
 你的",boy,your,it,he,your,2,20,8,6,4
"以下中文的英文意思是什麼？
 他的",sister,grandfather,his,its,his,3,16,13,9,11
"以下中文的英文意思是什麼？
 她的",mother,brother,her,you,her,3,14,17,10,1
"以下中文的英文意思是什麼？
 它的、牠的",I,doctor,we,its,its,4,0,27,2,11
"以下中文的英文意思是什麼？
 阿嬤",nurse,father,grandmother,my,grandmother,3,28,15,12,7
"以下中文的英文意思是什麼？
 阿公",they,brother,grandfather,his,grandfather,3,3,17,13,9
"以下中文的英文意思是什麼？
 媽媽",doctor,its,mother,her,mother,3,27,11,14,10
"以下中文的英文意思是什麼？
 爸爸",mother,father,student,I,father,2,14,15,25,0
"以下中文的英文意思是什麼？
 姊妹",sister,nurse,it,she,sister,1,16,28,6,5
"以下中文的英文意思是什麼？
 兄弟",grandmother,brother,nurse,father,brother,2,12,17,28,15
"以下中文的英文意思是什麼？
 嬰兒",teacher,cook,we,baby,baby,4,24,23,2,18
"以下中文的英文意思是什麼？
 女孩",girl,doctor,boy,driver,girl,1,19,27,20,29
"以下中文的英文意思是什麼？
 男孩",my,father,they,boy,boy,4,7,15,3,20
"以下中文的英文意思是什麼？
 女人",woman,doctor,girl,baby,woman,1,21,27,19,18
"以下中文的英文意思是什麼？
 男人",my,girl,nurse,man,man,4,7,19,28,22
"以下中文的英文意思是什麼？
 廚師",cook,its,he,nurse,cook,1,23,11,4,28
"以下中文的英文意思是什麼？
 老師",teacher,woman,his,student,teacher,1,24,21,9,25
"以下中文的英文意思是什麼？
 學生",doctor,you,student,I,student,3,27,1,25,0
"以下中文的英文意思是什麼？
 農夫",farmer,man,father,boy,farmer,1,26,22,15,20
"以下中文的英文意思是什麼？
 醫生",your,doctor,woman,boy,doctor,2,8,27,21,20
"以下中文的英文意思是什麼？
 護理師",driver,nurse,cook,it,nurse,2,29,28,23,6
"以下中文的英文意思是什麼？
 司機",sister,its,man,driver,driver,4,16,11,22,29
