單字,美音,中文解釋,圖片,英文例句,中文翻譯
pen,/pen/,原子筆,96.jpg,"Don't write in pen, or you won't be able to rub out any mistakes you make.",不要用鋼筆寫，否則寫錯就擦不掉了。
pencil,/ˈpen.səl/,鉛筆,97.jpg,a box of coloured pencils,一盒彩色鉛筆
marker,/ˈmɑːr.kɚ/,麥克筆,98.jpg,I've put in some markers where I planted the seeds.,我在播種的地方放了些標誌物。
eraser,/ɪˈreɪ.sɚ/,橡皮擦,99.jpg,If you draw or write in pencil you can always rub out your mistakes with an eraser.,如果你用鉛筆寫字畫畫，無論出了甚麽錯都可以用橡皮擦擦掉。
ruler,/ˈruː.lɚ/,尺,100.jpg,a ruler can make you draw a straight line.,直尺可以讓你畫直線。
book,/bʊk/,書,101.jpg,Have you read any good books recently?,你最近讀到了什麼好書嗎？
bag,/bæɡ/,袋子,102.jpg,a shopping bag,購物袋
desk,/desk/,書桌,103.jpg,She sat at her desk writing letters.,她坐在書桌前寫信。
table,/ˈteɪ.bəl/,餐桌,104.jpg,There was a really noisy table behind us celebrating someone's birthday.,我們後面的一桌人在給人慶祝生日，吵吵鬧鬧的。
chair,/tʃer/,椅子,105.jpg,a chair has four legs,一張椅子有四隻腳
crayon,/ˈkreɪ.ɑːn/,蠟筆,106.jpg,children's crayons,兒童蠟筆
box,/bɑːks/,箱子,107.jpg,a cardboard box,紙板箱
door,/dɔːr/,門,108.jpg,the front door,前門
window,/ˈwɪn.doʊ/,窗戶,109.jpg,Is it all right if I open the window?,我可以打開窗戶嗎？
picture,/ˈpɪk.tʃɚ/,圖片,110.jpg,I hate having my picture taken,我不喜歡被人拍照。
TV,/ˌtiːˈviː/,電視,111.jpg,What's on TV tonight?,今晚有甚麼電視節目？
sofa,/ˈsoʊ.fə/,沙發,112.jpg,I had a rest on the sofa,我剛剛在沙發上休息了一下。
light,/laɪt/,光,113.jpg,a bright light,明亮的光線
bed,/bed/,床,114.jpg,"He lived in a room with only two chairs, a bed, and a table.",他住的房間裡，只有兩張椅子、一張床和一張桌子。
lamp,/læmp/,燈,115.jpg,a street lamp,路燈
clock,/klɑːk/,時鐘,116.jpg,We have an antique clock on our mantelpiece.,我們家的壁爐架上有一個古老的鐘。
cell phone,/ˈsel foʊn/,手機,117.jpg,people had their cell phone with them all day long.,人們一整天都讓手機待在自己身邊。
video game,/ˈvɪd.i.oʊ ˌɡeɪm/,電動,118.jpg,this video game is very fun.,這個電子遊戲很好玩。
computer,/kəmˈpjuː.t̬ɚ/,電腦,119.jpg,All our customer orders are handled by computer.,我們所有顧客的訂單都是用電腦來處理的。
cup,/kʌp/,杯子,120.jpg,a coffee cup,咖啡杯
mug,/mʌɡ/,馬克杯,121.jpg,I made myself a large mug of cocoa and went to bed.,我為自己沖了一大杯可可茶，然後鑽進了被窩。
bowl,/boʊl/,碗,122.jpg,Sift the flour and baking powder into a mixing bowl.,將麵粉和發酵粉篩進攪拌缽裡。
ball,/bɑːl/,球,123.jpg,Just try to concentrate on hitting the ball.,盡量集中精神，只想著擊球。
yo-yo,/ˈjoʊ.joʊ/,溜溜球,124.jpg,he is playing a yoyo.,他在玩溜溜球
bat,/bæt/,球棒,125.jpg,use the bat to hit the ball.,用球棒來打球。
robot,/ˈroʊ.bɑːt/,機器人,126.jpg,The surgery can be carried out by robots.,手術可以由機器人來做。
kite,/kaɪt/,風箏,127.jpg,fly a kite,放風箏
doll,/dɑːl/,娃娃,128.jpg,that doll is pretty cute.,那隻玩偶蠻可愛的。
mop,/mɑːp/,拖把,129.jpg,a floor mop,地板拖把
map,/mæp/,地圖,130.jpg,a map of the world,世界地圖
weather,/ˈweð.ɚ/,天氣,131.jpg,"The weather in the mountains can change very quickly, so take appropriate clothing.",山裡的天氣瞬息萬變，所以要帶上合適的衣服。
sun,/sʌn/,太陽,132.jpg,The sun's rays are at their most powerful at midday.,正午時分陽光最強烈。
cloud,/klaʊd/,雲,133.jpg,Do you think those are rain clouds on the horizon?,你看天邊那些雲是雨雲嗎？
wind,/ˈwɪn.doʊ/,風,134.jpg,He caught me staring out of the window.,他看到我正在向窗外凝視。
rain,/reɪn/,雨,135.jpg,Rain is forecast for tomorrow.,預報明天會下雨。
snow,/snoʊ/,雪,136.jpg,Outside the snow began to fall.,外面開始下雪了。
river,/ˈrɪv.ɚ/,河,137.jpg,We sailed slowly down the river.,我們順流而下緩緩航行。
flower,/ˈflaʊ.ɚ/,花,138.jpg,pick flowers,摘花
grass,/ɡræs/,草,139.jpg,a blade of grass,一片草葉
tree,/triː/,樹,140.jpg,We sat under a tree for shade.,我們坐在樹下乘涼。
bike,/baɪk/,腳踏車,141.jpg,My youngest child is learning to ride a bike.,我最小的孩子正在學騎腳踏車。
car,/kɑːr/,車,142.jpg,They don't have a car.,他們沒有汽車。
bus,/bʌs/,公車,143.jpg,You should take the bus if you want to see the sights,如果你想看風景，應該乘公車去。
train,/treɪn/,火車,144.jpg,train journey,乘火車旅行
taxi,/ˈtæk.si/,計程車,145.jpg,I took a taxi from the station to the hotel.,我從車站乘計程車去飯店。
