單字,美音,中文解釋,圖片,英文例句,中文翻譯
I,/aɪ/,我,30.jpg,Am I invited?,邀請我了嗎？
you,/jʊ/,你,31.jpg,I love you.,我愛你。
we,/wi/,我們,32.jpg,Can we all go to the swimming pool this afternoon?,我們今天下午能都去游泳嗎？
they,/ðeɪ/,他們,33.jpg,I've known the Browns for a long time. They're very nice people.,我認識布朗一家已經很久了。他們都很友善。
he,/hi/,他,34.jpg,"Don't ask Andrew, he won't know.",不要問安德魯，他不會知道的。
she,/ʃi/,她,35.jpg,"I asked my mother if she'd lend me some money, but she said no.",我問母親能否借我點錢，她沒有答應。
it,/ɪt/,它,36.jpg,Where's my pen? It was on my desk a minute ago.,我的鋼筆在哪裡？剛才還在我的桌上。
my,/maɪ/,我的,37.jpg,my parents,我的父母
your,/jʊr/,你的,38.jpg,It's not your fault.,這不是你的錯。
his,/hɪz/,他的,39.jpg,The bull tossed his horns.,公牛突然抬起角。
her,/hɝː/,她的,40.jpg,this is her book.,這是她的書。
its,/ɪts/,它的、牠的,41.jpg,The dog hurt its paw.,狗的爪子受傷了。
grandmother,/ˈɡræn.mʌð.ɚ/,阿嬤,42.jpg,Both my grandmothers were from Scotland.,我的奶奶和外婆都來自蘇格蘭。
grandfather,/ˈɡræn.fɑː.ðɚ/,阿公,43.jpg,Her grandfather on her mother's side was Italian.,她外祖父是義大利人。
mother,/ˈmʌð.ɚ/,媽媽,44.jpg,My mother was 21 when she got married.,我母親結婚時21歲。
father,/ˈfɑː.ðɚ/,爸爸,45.jpg,My father took me to watch the football every Saturday.,我父親每週六帶我去看足球賽。
sister,/ˈsɪs.tɚ/,姊妹,46.jpg,Sophie and Emily are sisters.,蘇菲和艾蜜莉是姐妹。
brother,/ˈbrʌð.ɚ/,兄弟,47.jpg,My brother lives in Washington.,我哥哥住在華盛頓。
baby,/ˈbeɪ.bi/,嬰兒,48.jpg,a newborn baby,新生兒
girl,/ɡɝːl/,女孩,49.jpg,Two girls showed us round the classrooms.,兩個女孩領著我們參觀了課室。
boy,/bɔɪ/,男孩,50.jpg,"As a young boy, my father used to walk three miles to school.",我爸爸小時候常常要走三英里路去上學。
woman,/ˈwʊm.ən/,女人,51.jpg,She's a really nice woman.,她真是個非常好的女人。
man,/mæn/,男人,52.jpg,men and women,男人和女人
cook,/kʊk/,廚師,53.jpg,the cook made a plate of fried rice for the customer.,廚師為客人做了一盤炒飯。
teacher,/ˈtiː.tʃɚ/,老師,54.jpg,the teacher drew a circle on the white board.,老師在白板上畫了個圓。
student,/ˈstuː.dənt/,學生,55.jpg,He was a student at the University of Chicago.,他是芝加哥大學的學生。
farmer,/ˈfɑːr.mɚ/,農夫,56.jpg,he is a dairy farmer,他是一位乳牛場場主
doctor,/ˈdɑːk.tɚ/,醫生,57.jpg,You should see a doctor about that cough.,你咳嗽應該找醫生看看。
nurse,/nɝːs/,護理師,58.jpg,He worked as a nurse in a psychiatric hospital.,他在精神病院當護士。
driver,/ˈdraɪ.vɚ/,司機,59.jpg,The driver of the van was killed in the accident.,貨車司機在事故中喪生。
