單字,美音,中文解釋,圖片,英文例句,中文翻譯
do,/də/,做,205.jpg,Where do you work?,你在哪裡上班？
like,/laɪk/,喜歡,206.jpg,I like your new haircut.,我喜歡你的新髮型。
love,/lʌv/,愛,207.jpg,I love you.,我愛你。
want,/wɑːnt/,想要,208.jpg,I want some chocolate.,我想要些巧克力。
have,/hæv/,擁有,209.jpg,I have a pen.,我有一支筆。
run,/rʌn/,跑,210.jpg,I can run a mile in five minutes.,我可以在五分鐘裡跑一英里。
walk,/wɑːk/,走路,211.jpg,I walked home.,我走路回家的。
swim,/swɪm/,游泳,212.jpg,We spent the day on the beach but it was too cold to go swimming.,我們一整天都在海灘上，但天氣太冷，不能游泳。
jump,/dʒʌmp/,跳,213.jpg,The children were jumping up and down with excitement.,孩子都興奮地跳來跳去。
ride,/raɪd/,騎,214.jpg,I learned to ride a bike when I was six.,我六歲學會了騎腳踏車。
dance,/dæns/,跳舞,215.jpg,We danced all night.,我們跳了一夜的舞。
sing,/sɪŋ/,唱,216.jpg,The children sang two songs by Schubert at the school concert.,在學校音樂會上，孩子們演唱了舒伯特的兩首歌曲。
write,/raɪt/,寫,217.jpg,"When you fill in the form, please write clearly/legibly in black ink.",填表時，請用黑色墨水書寫清楚。
read,/riːd/,閱讀,218.jpg,I read about the family's success in the local paper.,我在當地報紙上讀到了這個家庭的成功經歷。
draw,/drɑː/,（乾筆）畫,219.jpg,this drawing of a horse is very beautiful.,這幅畫著一隻馬的畫非常的漂亮。
color,/ˈkʌl.ɚ/,上色,220.jpg,the color of the cat is white.,那隻貓的顏色是白色。
paint,/peɪnt/,（濕筆）畫,221.jpg,the paints of Leonardo da Vinci are all very famous.,李奧納多·達文西的畫全都很有名
speak,/spiːk/,說,222.jpg,"Would you mind speaking more slowly, please?",請你再說慢點，好嗎？
say,/seɪ/,說,223.jpg,Small children find it difficult to say long words.,小孩子覺得長字不好說。
eat,/iːt/,吃,224.jpg,"When I've got a cold, I don't feel like eating.",我感冒時沒有食慾。
drink,/drɪŋk/,喝,225.jpg,They'd had no food or drink for two days.,他們已經兩天沒吃沒喝了。
look,/lʊk/,看,226.jpg,Look! There's grandma.,看！祖母在那裡。
watch,/wɑːtʃ/,看,227.jpg,I had dinner and watched TV for a couple of hours.,我吃了飯，然後看了幾個小時電視。
see,/siː/,看,228.jpg,Turn the light on so I can see.,打開燈，這樣我才看得到。
listen,/ˈlɪs.ən/,聽,229.jpg,What kind of music do you listen to?,你聽哪一類的音樂？
smile,/smaɪl/,微笑,230.jpg,She has a nice smile.,她笑得很甜。
laugh,/læf/,大笑,231.jpg,They laughed at her jokes.,聽了她講的笑話他們都笑了。
cry,/kraɪ/,哭,232.jpg,I could hear someone crying in the next room.,我能聽見隔壁房間有人在哭。
hold,/hoʊld/,拿,233.jpg,Can you hold the bag while I open the door?,我開門時，你能幫我拿一下提包嗎？
put,/pʊt/,放,234.jpg,Where have you put the keys?,你把鎖匙放在哪了？
take,/teɪk/,拿,235.jpg,Here's your pen - I took it by mistake.,你的筆在這裡，我拿錯了。
sit,/sɪt/,坐,236.jpg,to sit in an armchair,坐在扶手椅上
stand,/stænd/,站,237.jpg,Granny says if she stands for a long time her ankles hurt.,奶奶說她站久了腳踝會痛。
