單字,美音,中文解釋,圖片,英文例句,中文翻譯
zero,/ˈzɪr.oʊ/,零,1.jpg,The number one million is written with a one and six zeros.,數字100萬要寫一個1和六個0。
one,/wʌn/,一,2.jpg,He had two slices and I only had one.,他有兩片，而我只有一片。
two,/tuː/,二,3.jpg,They have two houses.,他們有兩幢房子。
three,/θriː/,三,4.jpg,I've got three sisters.,我有三個姐妹。
four,/fɔːr/,四,5.jpg,Most animals have four legs.,大多數動物都有四條腿。
five,/faɪv/,五,6.jpg,I work five days a week.,我一周工作五天。
six,/sɪks/,六,7.jpg,Look for a bus with a number six on the front of it.,找一輛前面有數字六的公車。
seven,/ˈsev.ən/,七,8.jpg,The restaurant opens for dinner at seven,餐廳在七點鐘開門供應晚餐。
eight,/eɪt/,八,9.jpg,We've got eight people coming to dinner.,有八位客人要到我們家來吃晚餐。
nine,/naɪn/,九,10.jpg,The children go to bed at nine,小孩們九點鐘上床睡覺。
ten,/ten/,十,11.jpg,Her father died ten years ago.,她的父親在十年前去世了。
eleven,/əˈlev.ən/,十一,12.jpg,There are eleven girls in my class and ten boys.,我班上有11個女生和10個男生。
twelve,/twelv/,十二,13.jpg,The cafeteria opens for lunch at twelve,餐廳十二點開門供應午餐。
thirteen,/θɝːˈtiːn/,十三,14.jpg,Some people think that thirteen is an unlucky number.,一些人認為十三是個不吉利的數字。
fourteen,/ˌfɔːrˈtiːn/,十四,15.jpg,Her baby is fourteen months old.,她的孩子14個月大了。
fifteen,/ˌfɪfˈtiːn/,十五,16.jpg,They live about fifteen miles away.,他們住在大約15英里以外的地方。
sixteen,/ˌsɪkˈstiːn/,十六,17.jpg,We have got sixteen people coming for lunch.,我們有16個人來吃午飯。
seventeen,/ˌsev.ənˈtiːn/,十七,18.jpg,I'm nearly seventeen so I should be able to do what I want.,我快17歲了，所以可以做我想做的事了。
eighteen,/ˌeɪˈtiːn/,十八,19.jpg,The table was set for eighteen people.,這張桌子可供十八人用餐。
nineteen,/ˌnaɪnˈtiːn/,十九,20.jpg,"Simson, aged nineteen, was convicted on two charges of burglary.",19歲的西姆森被判兩項盜竊罪罪成。
twenty,/ˈtwen.t̬i/,二十,21.jpg,space for twenty people,可容納20個人的空間
thirty,/ˈθɝː.t̬i/,三十,22.jpg,She got married when she was thirty,她30歲的時候結婚了。
forty,/ˈfɔːr.t̬i/,四十,23.jpg,He looks about forty.,他看上去40歲上下。
fifty,/ˈfɪf.ti/,五十,24.jpg,"""How fast were they driving?"" ""They were doing fifty""",「他們當時的車速有多快？」「他們的時速達到了50英里。」
sixty,/ˈsɪk.sti/,六十,25.jpg,She plans to retire at sixty,她打算在60歲時退休。
seventy,/ˈsev.ən.t̬i/,七十,26.jpg,This house was built seventy years ago.,這棟房子建於70年前。
eighty,/ˈeɪ.t̬i/,八十,27.jpg,They've invited eighty guests to the wedding.,他們邀請了80個（客）人參加他們的婚禮。
ninety,/ˈnaɪn.t̬i/,九十,28.jpg,Ninety percent of the people surveyed were in favour of the new rule.,90%的被訪者表示贊成。
hundred,/ˈhʌn.drəd/,百,29.jpg,That dress costs hundreds of dollars.,那條裙子價值數百美元。
