單字,美音,中文解釋,圖片,英文例句,中文翻譯
hat,/hæt/,帽子,69.jpg,a straw hat,草帽
glasses,/ɡlæs/,眼鏡,70.jpg,It's a huge window made from a single pane of glass.,這扇巨大的窗戶是由一整塊玻璃造的。
shirt,/ʃɝːt/,襯衫,71.jpg,You've spilled something down your shirt front.,你把甚麽東西灑在襯衫前襟上了。
shorts,/ʃɔːrts/,短褲,72.jpg,tennis shorts,網球短褲
pants,/pænts/,長褲,73.jpg,a pair of pants,一條長褲
skirt,/skɝːt/,裙子,74.jpg,She wore a denim skirt and a white shirt.,她穿著一條牛仔半身裙和一件白襯衫。
dress,/dres/,洋裝,75.jpg,a wedding dress,婚紗
socks,/sɑːk/,襪子,76.jpg,a pair of socks,一雙短襪
shoes,/ʃuː/,鞋子,77.jpg,high-heeled shoes,高跟鞋
boots,/buːt/,靴子,78.jpg,walking boots,步行靴
