單字,美音,中文解釋,圖片,英文例句,中文翻譯
...o'clock,/əˈklɑːk/,…點鐘,191.jpg,He called me at four o'clock in the morning.,他淩晨4點打電話給我。
now,/naʊ/,現在,192.jpg,"I may eat something later, but I'm not hungry now.",我過一會兒可能會想吃點兒東西，但現在不餓。
morning,/ˈmɔːr.nɪŋ/,早上,193.jpg,She only works in the mornings.,她只在上午工作。
afternoon,/ˌæf.tɚˈnuːn/,下午,194.jpg,It was a sunny afternoon.,那是一個陽光明媚的下午。
evening,/ˈiːv.nɪŋ/,傍晚,195.jpg,I work in a restaurant and only get one evening off a week.,我在一家餐廳工作，每週只有一個晚上休假。
night,/naɪt/,晚上,196.jpg,I slept really badly last night.,我昨晚睡得很不好。
today,/təˈdeɪ/,今天,197.jpg,What's the date today?,今天幾號？
Sunday,/ˈsʌn.deɪ/,星期天,198.jpg,We're going to visit my aunt and uncle on Sunday.,我們週日要去探望我的叔叔和嬸嬸。
Monday,/ˈmʌn.deɪ/,星期一,199.jpg,I start my new job on Monday.,週一我將開始我的新工作。
Tuesday,/ˈtuːz.deɪ/,星期二,200.jpg,We'll meet at eight on Tuesday.,我們週二八點見。
Wednesday,/ˈwenz.deɪ/,星期三,201.jpg,Did you say the meeting is on Wednesday?,你是說會議在星期三開嗎？
Thursday,/ˈθɝːz.deɪ/,星期四,202.jpg,I'm getting my hair cut after work on Thursday.,星期四下班後我去理髮。
Friday,/ˈfraɪ.deɪ/,星期五,203.jpg,Shall we go to the theater on Friday?,我們星期五去看戲怎麽樣？
Saturday,/ˈsæt̬.ɚ.deɪ/,星期六,204.jpg,Most football matches are played on Saturdays.,大部分足球比賽都在星期六進行。
