單字,美音,中文解釋,圖片,英文例句,中文翻譯
fine,/faɪn/,好的,238.jpg,I felt terrible last night but I feel fine this morning.,我昨晚感覺很不舒服，但今天早上就好了。
good,/ɡʊd/,好的,239.jpg,Did you have a good time at the party?,你在派對上玩得開心嗎？
bad,/bæd/,壞的,240.jpg,Our holiday was spoiled by bad weather.,我們的假期全被壞天氣給破壞了。
favorite,/ˈfeɪ.vər.ət/,最喜歡的,241.jpg,this is my favorit fruit.,這是我最愛的水果。
big,/bɪɡ/,大的,242.jpg,Could I try these shoes in a bigger size?,這雙鞋我能試一雙大一點的嗎？
small,/smɑːl/,小的,243.jpg,Would you like a large or small cola with your burger?,你的漢堡包要配大可樂還是小可樂？
little,/ˈlɪt̬.əl/,小的,244.jpg,A little old man came into the room.,一個小老頭走進了房間。
old,/oʊld/,老的,245.jpg,"Now come on, you're old enough to tie your own shoelaces, Carlos.",好，來吧，卡洛斯，你那麼大了，該自己繫鞋帶了。
young,/jʌŋ/,年輕的,246.jpg,The trees in this part of the forest are still fairly young.,森林中的這一片樹木還沒長大。
tall,/tɑːl/,高的,247.jpg,She's much taller than me.,她比我高得多。
long,/lɑːŋ/,長的,248.jpg,Apparently the sessions are an hour long.,顯然這些會議都長達一個小時。
short,/ʃɔːrts/,短的,249.jpg,She put on a pair of shorts and a T-shirt.,她穿上短褲和T恤
thin,/θɪn/,細的,250.jpg,thin black lines,細黑線
fat,/fæt/,胖的,251.jpg,"Like most women, she thinks she's fat.",與大多數女性一樣，她覺得自己很胖。
fast,/fæst/,快的,252.jpg,Computers are getting faster all the time.,電腦的速度不斷提升。
slow,/sloʊ/,慢的,253.jpg,We're making slow but steady progress with the painting.,我們的這幅畫進度緩慢但很順利。
clean,/kliːn/,乾淨的,254.jpg,Make sure your hands are clean before you have your dinner.,飯前一定要把手洗乾淨。
dirty,/ˈdɝː.t̬i/,髒的,255.jpg,Her face was dirty.,她的臉很髒。
hungry,/ˈhʌŋ.ɡri/,餓的,256.jpg,The children are always hungry when they get home from school.,孩子們放學回家時總是饑腸轆轆。
thirsty,/ˈθɝː.sti/,渴的,257.jpg,I was hot and thirsty after the basketball game.,籃球比賽後我又熱又渴。
happy,/ˈhæp.i/,開心的,258.jpg,School days are said to be the happiest days of your life.,學生時代據說是一生中最快樂的時光。
unhappy,/ʌnˈhæp.i/,不開心的,259.jpg,I was very unhappy with the service.,我對服務很不滿意。
sad,/sæd/,傷心的,260.jpg,It's sad that the trip had to be cancelled.,很遺憾旅行被迫取消了。
angry,/ˈæŋ.ɡri/,生氣的,261.jpg,I don't understand what he's angry about.,我不明白他為甚麼生氣。
sick,/sɪk/,生病的,262.jpg,The old woman fell sick while she was away and had to come home.,那個老婦人出門在外時生病了，不得不回家。
tired,/taɪrd/,累的,263.jpg,I was so tired when I got home from work last night that I had a quick nap.,我昨晚下班回家後很累，就小睡了一會兒。
hot,/hɑːt/,熱的,264.jpg,"It's too hot in here, can we turn down the heating?",這裡面太熱了，我們能把暖氣關小點嗎？
cold,/koʊld/,冷的,265.jpg,You'll feel cold if you don't wear a coat.,如果不穿外套你會覺得冷的。
rainy,/ˈreɪ.ni/,下雨的,266.jpg,"We had three rainy days on holiday, but otherwise it was sunny.",我們度假時遇到三個雨天，不過其他的日子都是陽光明媚。
snowy,/ˈsnoʊ.i/,下雪的,267.jpg,We've had a very snowy winter this year.,今年我們過了一個多雪的冬天。
sunny,/ˈsʌn.i/,晴朗的,268.jpg,"We're having the party in the garden, so I'm praying it'll be sunny.",我們要在花園裡舉行聚會，所以我正祈禱那天會陽光明媚。
cloudy,/ˈklaʊ.di/,多雲的,269.jpg,Scotland will be cloudy with wintry showers.,蘇格蘭將會轉陰，且有寒冷的陣雨。
windy,/ˈwɪn.di/,起風的,270.jpg,It was wet and windy for most of the week.,本週的大部分時間都在颳風下雨。
black,/blæk/,黑色的,271.jpg,black shoes,黑色的鞋子
white,/waɪt/,白色的,272.jpg,He's white-haired now.,他現在頭髮都已經白了。
gray,/ɡreɪ/,灰色的,273.jpg,My cat has gray fur.,我的貓是灰毛的。
brown,/braʊn/,咖啡色的,274.jpg,"She has long, brown hair.",她有一頭棕色的長髮。
red,/red/,紅色的,275.jpg,The dress was bright red.,這件連衣裙是鮮紅色的。
orange,/ˈɔːr.ɪndʒ/,橘色的,276.jpg,Orange is her favourite colour.,橙色是她最喜歡的顏色。
yellow,/ˈjel.oʊ/,黃色的,277.jpg,It was early autumn and the leaves were turning yellow.,正值初秋時節，樹葉開始轉黃。
green,/ɡriːn/,綠色的,278.jpg,green vegetables,綠葉蔬菜
blue,/bluː/,藍色的,279.jpg,Her hands were blue with cold,她的手凍得發青。
purple,/ˈpɝː.pəl/,紫色的,280.jpg,purple plums,紫色的李子
pink,/pɪŋk/,粉紅色的,281.jpg,Have you been in the sun? Your nose is a bit pink.,你曬太陽了嗎？你的鼻子有點發紅。
