單字,美音,中文解釋,圖片,英文例句,中文翻譯
bear,/ber/,熊,79.jpg,a bear cub,幼熊
dog,/dɑːɡ/,狗,80.jpg,my pet dog,我的寵物狗
cat,/kæt/,貓,81.jpg,the cat family,貓科動物
bird,/bɝːd/,鳥,82.jpg,wild birds,野鳥
rabbit,/ˈræb.ɪt/,兔,83.jpg,a pet rabbit,家兔寵物
frog,/frɑːɡ/,青蛙,84.jpg,Frogs make a low noise called a croak.,青蛙會發出「呱呱」的低沈叫聲。
fish,/fɪʃ/,魚,85.jpg,Several large fish live in the pond.,池塘裡有幾條大魚。
chicken,/ˈtʃɪk.ɪn/,雞,86.jpg,A male chicken is called a cock and a female chicken is called a hen.,公雞叫 cock，母雞稱作 hen。
turtle,/ˈtɝː.t̬əl/,烏龜,87.jpg,turtles lives near the water.,烏龜住在水附近。
lion,/ˈlaɪ.ən/,獅子,88.jpg,a pride of lions,獅群
tiger,/ˈtaɪ.ɡɚ/,虎,89.jpg,the tiger is in the cage.,那隻獅子在籠子裡。
monkey,/ˈmʌŋ.ki/,猴子,90.jpg,monkeys have tails.,猴子有尾巴。
giraffe,/dʒɪˈræf/,長頸鹿,91.jpg,giraffes has a long neck.,長頸鹿有長脖子。
fox,/fɑːks/,狐狸,92.jpg,there is a white fox over there.,那裡有一隻白色的狐狸。
zebra,/ˈziː.brə/,斑馬,93.jpg,zebras has black and white lines on its body.,斑馬身上有黑白的線條。
pig,/pɪɡ/,豬,94.jpg,a pig farm,養豬場
elephant,/ˈel.ə.fənt/,大象,95.jpg,a person is riding on a elephant.,有一個人騎在大象身上。
