單字,美音,中文解釋,圖片,英文例句,中文翻譯
breakfast,/ˈbrek.fəst/,早餐,146.jpg,What do you want for breakfast?,你早餐想吃甚麽?
lunch,/lʌntʃ/,午餐,147.jpg,What's for lunch?,午飯吃甚麼？
dinner,/ˈdɪn.ɚ/,晚餐,148.jpg,We were just having dinner.,我們正在吃晚餐。
cookie,/ˈkʊk.i/,餅乾,149.jpg,chocolate-chip cookies,巧克力甜餅
ice cream,/ˈaɪs ˌkriːm/,冰淇淋,150.jpg,a tub of ice cream,一盒冰淇淋
candy,/ˈkæn.di/,糖果,151.jpg,a box of candy,一盒糖果
hamburger,/ˈhæmˌbɝː.ɡɚ/,漢堡,152.jpg,the hamberger is cheap,這個漢堡很便宜
hotdog,/ˈhɑːt.dɑːɡ/,熱狗,153.jpg,the hot dog is very good,這個熱狗很好吃
pizza,/ˈpiːt.sə/,比薩,154.jpg,I like lots of different pizza toppings.,我喜歡好多不同的披薩餡料。
bread,/bred/,麵包,155.jpg,a loaf of bread,一條麵包
sandwich,/ˈsæn.wɪtʃ/,三明治,156.jpg,a toasted sandwich,烤三明治
cake,/keɪk/,蛋糕,157.jpg,Would you like a piece of cake?,你想來塊蛋糕嗎？
rice,/raɪs/,飯,158.jpg,Do you prefer brown rice or white rice?,你喜歡吃糙米還是精米？
noodles,/ˈnuː.dəl/,麵 ,159.jpg,chicken noodle soup,雞湯麵
spaghetti,/spəˈɡet̬.i/,義大利麵,160.jpg,the spaghetti is too salty.,這個義大利麵太鹹了。
tea,/ˈtiː.tʃɚ/,茶,161.jpg,the teachers job is to teach students.,老師的工作就是教導學生。
coke,/koʊk/,可樂,162.jpg,the coke is to sweat to drink.,這個可樂喝起來太甜了。
soda,/ˈsoʊ.də/,汽水,163.jpg,a soda is a drink with bubbles inside,汽水是一種裡面含有氣泡的飲料。
water,/ˈwɑː.t̬ɚ/,水,164.jpg,"Can I have a drop of water in my whisky, please?",請在我的威士卡裡加一點水，好嗎？
juice,/dʒuːs/,果汁,165.jpg,a carton of apple juice,一盒蘋果汁
milk,/mɪlk/,牛奶,166.jpg,a milk bottle,奶瓶
egg,/eɡ/,蛋,167.jpg,How do you like your eggs - fried or boiled?,雞蛋你想怎樣吃？是吃煎的還是煮的？
ham,/hæm/,火腿,168.jpg,ham comes from pigs.,火腿是從豬身上產出來的。
salad,/ˈsæl.əd/,沙拉,169.jpg,mix the salad with a vinaigrette dressing.,用油醋醬調味料拌沙拉。
tomato,/təˈmeɪ.t̬oʊ/,番茄,170.jpg,pasta with a tomato sauce,番茄醬義大利面
banana,/bəˈnæn.ə/,香蕉,171.jpg,a bunch of bananas,一串香蕉
apple,/ˈæp.əl/,蘋果,172.jpg,an apple tree,蘋果樹
pear,/per/,梨子,173.jpg,this pear is sweat,這顆梨子是甜的
grape,/ɡreɪp/,葡萄,174.jpg,seedless grapes,無籽葡萄
peach,/piːtʃ/,桃子,175.jpg,Would you like peaches and cream for dessert?,你想來點蜜桃霜淇淋當甜點嗎？
